,id,text,agg_bert_row,answer_length,x_position,y_position
0,1,Radical ideas ,1,14,-3.0904899,-2.847365
1,2,No judgement,3,12,0.81128603,6.929429
2,3,speed dating,0,12,5.49896,-4.650443
3,4,Make multiple ideas,1,19,-2.5988467,-1.7501755
4,5,Yes and,0,7,-6.761382,-1.2278562
5,6,social interaction ,0,19,3.3126059,-2.88809
6,7,Quantity over quality ,2,22,-6.430061,1.6710584
7,8,Encourage wild ideas,4,20,-3.0557375,-4.5672245
8,9,Be visual,5,9,6.577217,-0.05780634
9,10,Encourage wild ideas,4,20,-2.4610312,-4.4060655
10,11,one conversation at a time,0,26,2.865529,-3.5568712
11,12,Be visual ,5,10,7.100542,0.58636004
12,13,Stay focused on topic,6,21,0.8040681,-5.7585926
13,14,Stay on topics,6,14,1.2699606,-5.4419165
14,15,dont judge the idea,1,19,-1.2145461,2.0969617
15,16,Defer judgement,3,15,-0.5147788,6.5864816
16,17,include all wild ideas too,4,26,-4.150167,-4.782797
17,18,Don't judge other people's ideas,1,32,-1.0986234,2.3811367
18,19,No one should be able to say that's my idea,1,43,-1.4850712,1.1098998
19,20,"Defer judgement on ideas, DONT judge them too quickly ",3,54,-1.2746474,4.089568
20,21,"Know your users, they are not u",0,31,2.83929,2.0512376
21,22,Go for quantity ,2,16,-6.789727,0.3679859
22,23,Users are not you,0,17,2.9536538,2.3307433
23,24,be visual,5,9,6.4048114,0.15300591
24,25,"Dont hate, just come up with ideas dont worry about quality of them yet",1,71,-3.2270434,1.7116679
25,26,Defer Judgement,3,15,-0.304142,6.851579
26,27,Embrace wild ideas,4,18,-3.5494902,-4.979912
27,28,Defer judgement,3,15,-1.0246404,6.5332603
28,29,Quantity over quality,2,21,-6.427802,1.6771948
29,30,Be visual,5,9,6.898648,0.74650884
30,31,Stay focused on the topic,6,25,0.77075785,-5.746534
31,32,defer judgement,3,15,-0.85016274,7.217076
32,33,Generate a lot of ideas,1,23,-2.3647583,-1.9560187
33,34,"make sure you talk to the target audience first, and see what they want",0,71,2.2986755,-1.0947468
34,35,Dont shoot down others ideas,1,28,-1.141065,-0.17613442
35,36,defer judgement ,3,16,-1.5008477,6.768552
36,37,"Know thy users, for they are not you",0,36,2.6726859,1.9445094
37,38,You should encourage wild ideas,4,31,-3.1165495,-5.262124
38,39,Go for quantity,2,15,-6.790176,0.36914954
39,40,Encourage wild ideas,4,20,-2.3997817,-4.629811
40,41,Defer judgement,3,15,-1.3965846,6.612669
41,42,Diversity of ideas,1,18,-4.3594728,-2.6069138
42,43,Come up with as many ideas as possible,1,38,-3.197555,-0.5071612
43,44,"Defer judgement means coming up with ideas, not hating on any of them yet.",3,74,0.059393723,5.8435755
44,45,Stay focused on topic,6,21,0.8035184,-5.7585335
45,46,Defer judgment,3,14,-1.3279123,7.6352186
46,47,Encourage wild ideas,4,20,-2.6218023,-4.9086747
47,48,Stay focused on topic,6,21,0.80473226,-5.759845
48,49,Being visual helps other understand your ideas or suggestions very quickly ,5,75,5.451054,-0.20976591
49,50,Be visual,5,9,7.002725,-0.15887845
50,51,"defer judgement to others, let others participate in discussion",3,63,-0.5281866,5.490931
51,52,Defer Judgement,3,15,-0.7747047,6.506153
52,53,Staying focused and on topic when discussing an idea,6,52,0.37629116,-5.374752
53,54,Come up with as many ideas as possible,1,38,-3.1975935,-0.50658077
54,55,Building empathy with the people you're designing for ,0,54,0.53730255,-0.5664358
55,56,Defer judgement ,3,16,-0.22490183,6.984007
56,57,Not think they are me,0,21,3.5404654,2.3293796
57,58,defer judgement,3,15,-1.1119515,7.0609665
58,59,Be visual in your ideation.,5,27,5.979234,-0.80383146
59,60,Initially Include as many ideas as possible ,1,44,-2.8596032,-1.5240402
60,61,Know your target audience,0,25,2.3338194,-1.0143394
61,62,be visual; this is to say that human centered design should focus primarily on visual elements,5,94,5.2899895,0.57187414
62,63,build on others' ideas,1,22,-1.0445719,-1.2300199
63,64,Defer judgement,3,15,-0.4084144,7.4929876
64,65,Come up with a large number of ideas,1,36,-2.976802,-0.55319697
65,66,No such thing as a bad idea,1,27,-1.4163074,1.7007625
66,67,Brainstorming,1,13,-0.36807314,-2.7692857
67,68,No hate,1,7,-3.217675,2.2447422
68,69,build off of other ideas,1,24,-1.6576437,-1.2613133
69,70,Diversity and flexibility in ideas,1,34,-4.415352,-2.6113877
70,71,one rule of ideation is to defer judgement.,3,43,-1.4122382,5.4954867
71,72,Encourage wild ideas to try and find the best solution,4,54,-3.5042088,-4.0006795
72,73,Encourage Wild Ideas,4,20,-2.6218028,-4.9086742
